subject,age,gender,edu,english,encoding_instruction_condition,encoding_task_condition,recall_instruction_condition,aware,list,output 1,output 2,output 3,output 4,output 5,output 6,output 7,output 8,output 9,output 10,output 11,output 12,output 13,output 14,output 15,output 16,output 17,output 18,output 19,output 20,output 21,output 22,output 23,output 24,output 25
1,,,,,Incidental,Animacy,Free,no,0,9,11,13,15,,,,,,,,,,,,,,,,,,,,,
1,,,,,Incidental,Animacy,Free,no,1,3,14,12,16,10,,,,,,,,,,,,,,,,,,,,
2,,,,,Incidental,Animacy,Free,no,0,2,13,5,11,9,10,12,,,,,,,,,,,,,,,,,,
2,,,,,Incidental,Animacy,Free,no,1,1,2,3,11,7,14,15,4,,,,,,,,,,,,,,,,,
3,,,,,Incidental,Animacy,Free,no,0,13,1,16,9,14,4,-999,,,,,,,,,,,,,,,,,,
3,,,,,Incidental,Animacy,Free,no,1,16,4,9,3,2,,,,,,,,,,,,,,,,,,,,
4,,,,,Incidental,Animacy,Free,no,0,6,10,1,12,8,11,3,7,,,,,,,,,,,,,,,,,
4,,,,,Incidental,Animacy,Free,no,1,7,6,1,4,13,12,16,2,10,3,,,,,,,,,,,,,,,
5,,,,,Incidental,Animacy,Free,no,0,8,6,1,3,,,,,,,,,,,,,,,,,,,,,
5,,,,,Incidental,Animacy,Free,no,1,3,13,7,6,14,,,,,,,,,,,,,,,,,,,,
6,,,,,Incidental,Animacy,Free,yes,0,6,13,7,3,,,,,,,,,,,,,,,,,,,,,
6,,,,,Incidental,Animacy,Free,yes,1,3,11,13,,,,,,,,,,,,,,,,,,,,,,
7,,,,,Incidental,Animacy,Free,no,0,8,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,Incidental,Animacy,Free,no,1,7,-999,5,3,,,,,,,,,,,,,,,,,,,,,
8,,,,,Incidental,Animacy,Free,no,0,14,6,14,,,,,,,,,,,,,,,,,,,,,,
8,,,,,Incidental,Animacy,Free,no,1,9,15,12,3,,,,,,,,,,,,,,,,,,,,,
9,,,,,Incidental,Animacy,Free,no,0,16,11,15,7,,,,,,,,,,,,,,,,,,,,,
9,,,,,Incidental,Animacy,Free,no,1,11,8,1,2,16,13,,,,,,,,,,,,,,,,,,,
